Date,Open,High,Low,Close
2021-08-13,7.14,7.156,7.131,7.131
2021-08-12,7.138,7.138,7.138,7.138
2021-08-11,7.151,7.151,7.151,7.151
2021-08-10,7.141,7.141,7.141,7.141
2021-08-09,7.114,7.114,7.114,7.114
2021-08-06,7.12,7.131,7.112,7.131
2021-08-05,7.071,7.071,7.071,7.071
2021-08-04,7.1,7.108,7.07,7.07
2021-08-03,7.108,7.108,7.095,7.095
2021-08-02,7.152,7.152,7.05,7.05
2021-07-30,7.109,7.109,7.109,7.109
2021-07-29,7.147,7.147,7.147,7.147
2021-07-28,7.121,7.121,7.121,7.121
2021-07-27,7.11,7.11,7.11,7.11
2021-07-26,7.097,7.097,7.097,7.097
2021-07-23,7.096,7.096,7.096,7.096
2021-07-22,7.087,7.087,7.087,7.087
2021-07-20,7.059,7.059,7.059,7.059
2021-07-19,7.088,7.088,7.088,7.088
2021-07-16,7.104,7.104,7.104,7.104
2021-07-15,7.092,7.092,7.092,7.092
2021-07-14,7.084,7.084,7.084,7.084
2021-07-13,7.131,7.131,7.131,7.131
2021-07-12,7.145,7.145,7.145,7.145
2021-07-09,7.299,7.299,7.299,7.299
2021-07-08,7.269,7.269,7.269,7.269
2021-07-07,7.322,7.322,7.322,7.322
2021-07-06,7.332,7.332,7.332,7.332
2021-07-05,7.09,7.09,7.09,7.09
2021-07-02,7.257,7.257,7.257,7.257
2021-07-01,7.136,7.136,7.136,7.136
2021-06-30,7.072,7.072,7.072,7.072
2021-06-29,7.068,7.068,7.068,7.068
2021-06-28,7.094,7.094,7.094,7.094
2021-06-25,7.068,7.068,7.068,7.068
2021-06-24,7.022,7.022,7.022,7.022
2021-06-23,7.018,7.018,7.018,7.018
2021-06-22,6.949,6.96,6.949,6.949
2021-06-21,6.984,6.984,6.984,6.984
2021-06-18,6.968,6.968,6.968,6.968
2021-06-17,6.971,6.971,6.971,6.971
2021-06-16,6.968,6.968,6.968,6.968
2021-06-15,6.954,6.954,6.954,6.954
2021-06-14,6.918,6.918,6.918,6.918
2021-06-11,6.909,6.909,6.909,6.909
2021-06-10,6.908,6.908,6.908,6.908
2021-06-09,6.915,6.915,6.915,6.915
2021-06-08,6.88,6.88,6.88,6.88
2021-06-07,6.909,6.909,6.909,6.909
2021-06-04,6.918,6.918,6.918,6.918
2021-06-03,6.908,6.908,6.908,6.908
2021-06-02,6.896,6.896,6.896,6.896
2021-06-01,6.9,6.9,6.9,6.9
2021-05-31,6.802,6.802,6.802,6.802
2021-05-28,6.765,6.765,6.765,6.765
2021-05-27,6.794,6.794,6.794,6.794
2021-05-25,6.773,6.773,6.773,6.773
2021-05-24,6.78,6.78,6.78,6.78
2021-05-21,6.774,6.774,6.774,6.774
2021-05-20,6.774,6.774,6.774,6.774
2021-05-19,6.851,6.851,6.79,6.79
2021-05-18,6.84,6.84,6.835,6.835
2021-05-17,6.704,6.704,6.704,6.704
2021-05-14,6.727,6.727,6.727,6.727
2021-05-12,6.698,6.698,6.698,6.698
2021-05-11,6.71,6.71,6.71,6.71
2021-05-10,6.715,6.715,6.715,6.715
